multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	9.9644850e+17	4.6516706e-23	8.5938138e-01	4.5470824e-08
1.0000000e-04	1.8832500e+25	9.9644850e+18	4.6516698e-23	8.5938123e-01	4.5470816e-07
1.0000000e-03	1.8832500e+25	9.9644850e+19	4.6516619e-23	8.5937977e-01	4.5470739e-06
1.0000000e-02	1.8832500e+25	9.9644850e+20	4.6515829e-23	8.5936517e-01	4.5469966e-05
1.0000000e-01	1.8832500e+25	9.9644850e+21	4.6507927e-23	8.5921919e-01	4.5462242e-04
1.0000000e+00	1.8832500e+25	9.9644850e+22	4.6429326e-23	8.5776706e-01	4.5385408e-03
1.0000000e+01	1.8832500e+25	9.9644850e+23	4.5682416e-23	8.4396813e-01	4.4655291e-02
1.0000000e+02	1.8832500e+25	9.9644850e+24	4.0771968e-23	7.5324916e-01	3.9855250e-01
1.0000000e+03	1.8832500e+25	9.9644850e+25	3.2553602e-23	6.0141746e-01	3.1821666e+00
1.0000000e+04	1.8832500e+25	9.9644850e+26	3.0222581e-23	5.5835259e-01	2.9543056e+01
1.0000000e+05	1.8832500e+25	9.9644850e+27	2.9945946e-23	5.5324185e-01	2.9272641e+02
