multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	1.4107635e+10	4.6516707e-23	8.5938139e-01	6.4377215e-16
1.0000000e-04	1.8832500e+25	1.4107635e+11	4.6516707e-23	8.5938139e-01	6.4377215e-15
1.0000000e-03	1.8832500e+25	1.4107635e+12	4.6516707e-23	8.5938139e-01	6.4377215e-14
1.0000000e-02	1.8832500e+25	1.4107635e+13	4.6516707e-23	8.5938139e-01	6.4377215e-13
1.0000000e-01	1.8832500e+25	1.4107635e+14	4.6516707e-23	8.5938139e-01	6.4377215e-12
1.0000000e+00	1.8832500e+25	1.4107635e+15	4.6516707e-23	8.5938139e-01	6.4377215e-11
1.0000000e+01	1.8832500e+25	1.4107635e+16	4.6516707e-23	8.5938139e-01	6.4377215e-10
1.0000000e+02	1.8832500e+25	1.4107635e+17	4.6516707e-23	8.5938139e-01	6.4377215e-09
1.0000000e+03	1.8832500e+25	1.4107635e+18	4.6516708e-23	8.5938141e-01	6.4377216e-08
1.0000000e+04	1.8832500e+25	1.4107635e+19	4.6516715e-23	8.5938153e-01	6.4377225e-07
1.0000000e+05	1.8832500e+25	1.4107635e+20	4.6516783e-23	8.5938279e-01	6.4377319e-06
1.0000000e+06	1.8832500e+25	1.4107635e+21	4.6517462e-23	8.5939534e-01	6.4378260e-05
1.0000000e+07	1.8832500e+25	1.4107635e+22	4.6524250e-23	8.5952074e-01	6.4387654e-04
1.0000000e+08	1.8832500e+25	1.4107635e+23	4.6591627e-23	8.6076552e-01	6.4480902e-03
