multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	1.9167300e+10	4.6516707e-23	8.5938139e-01	8.7465928e-16
1.0000000e-04	1.8832500e+25	1.9167300e+11	4.6516707e-23	8.5938139e-01	8.7465928e-15
1.0000000e-03	1.8832500e+25	1.9167300e+12	4.6516707e-23	8.5938139e-01	8.7465928e-14
1.0000000e-02	1.8832500e+25	1.9167300e+13	4.6516707e-23	8.5938139e-01	8.7465928e-13
1.0000000e-01	1.8832500e+25	1.9167300e+14	4.6516707e-23	8.5938139e-01	8.7465928e-12
1.0000000e+00	1.8832500e+25	1.9167300e+15	4.6516707e-23	8.5938139e-01	8.7465928e-11
1.0000000e+01	1.8832500e+25	1.9167300e+16	4.6516707e-23	8.5938139e-01	8.7465929e-10
1.0000000e+02	1.8832500e+25	1.9167300e+17	4.6516707e-23	8.5938140e-01	8.7465929e-09
1.0000000e+03	1.8832500e+25	1.9167300e+18	4.6516710e-23	8.5938146e-01	8.7465935e-08
1.0000000e+04	1.8832500e+25	1.9167300e+19	4.6516741e-23	8.5938202e-01	8.7465992e-07
1.0000000e+05	1.8832500e+25	1.9167300e+20	4.6517045e-23	8.5938763e-01	8.7466564e-06
